band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,81.409000,,,
band1,level,4,1,269.234000,,,
band1,level,6,1,559.458000,,,
band1,transition,,,,2_1,0_1,285.130078
band1,transition,,,,4_1,2_1,412.221088
band1,transition,,,,6_1,4_1,462.950266
band2,level,0,2,1223.746000,,,
band2,level,2,3,1304.860000,,,
band2,level,4,3,1488.995000,,,
band2,level,6,3,1769.683000,,,
band2,transition,,,,2_3,0_2,359.183446
band2,transition,,,,4_3,2_3,521.972519
band2,transition,,,,6_3,4_3,585.479714
band3,level,2,2,1150.666000,,,
band3,level,3,1,1236.621000,,,
band3,level,4,2,1344.689000,,,
band3,level,5,1,1485.822000,,,
band3,level,6,2,1632.762000,,,
band3,transition,,,,3_1,2_2,565.189196
band3,transition,,,,4_2,2_2,196.993168
band3,transition,,,,5_1,4_2,292.344579
band3,transition,,,,6_2,4_2,407.572068
band3,transition,,,,4_2,3_1,429.890870
band3,transition,,,,6_2,5_1,231.462279
band3,transition,,,,5_1,3_1,317.113696
interband,transition,,,,2_2,0_1,4.733525
interband,transition,,,,2_2,2_1,9.029313
interband,transition,,,,0_2,2_2,21.509793
interband,transition,,,,0_2,2_1,28.707158
