nucleus  rho21  rho31  rho41  rho32  rho42 rho43
Th208	0.031798 0.010239  0.000000  0.008234  0.000000 0.000075
Th210	0.018716 0.001220  0.000060  0.037674  0.075651 0.073092
Th212	0.011900 0.000124  0.000004  0.021762  0.013373 0.083665
Th214	0.012313 0.000241  0.000102  0.027401  0.001311 0.079228
Th216	0.004756 0.000714  0.000490  0.018803  0.000208 0.020511
Th218	0.007121 0.000014  0.000117  0.026256  0.000166 0.000334
Th220	0.007729 0.000825  0.000115  0.007277  0.023033 0.009006
Th222	0.008548 0.000000  0.000740  0.000001  0.038483 0.005230
Th224	0.017670 0.000001  0.001389  0.000567  0.106637 0.060949
Th226	0.107843 0.000428  0.005212  0.081224  0.240055 1.922223
Th228	0.200890 0.000808  0.000057  0.655913  0.004201 2.384900
Th230	0.214687 0.011056  0.001286  0.536352  0.125889 0.764193
Th232	0.204285 0.034133  0.000301  0.125768  0.528424 0.007383
Th234	0.224135 0.024560  0.002311  0.069397  0.649407 0.010387
Th236	0.255029 0.014866  0.004192  0.052674  0.692806 0.000200
Th238	0.278021 0.009890  0.005158  0.027613  0.709533 0.000003
Th240	0.313184 0.001195  0.004478  0.026751  0.744981 0.018240
Th242	0.327909 0.003008  0.002488  0.025815  0.679660 0.097399
Th244	0.321538 0.008191  0.003706  0.030059  0.707699 0.092420
Th246	0.299705 0.013226  0.008847  0.034438  0.725727 0.050758
Th248	0.230239 0.020380  0.022065  0.051106  0.695283 0.021036
Th250	0.093219 0.088922  0.032606  0.189119  0.520161 0.257203
Th252	0.011185 0.156468  0.013759  0.011712  0.168545 0.698794
Th254	0.003509 0.153254  0.000259  0.000462  0.011425 0.201031
Th256	0.038403 0.075222  0.000000  0.000000  0.000719 0.030058
Th258	0.035547 0.035079  0.000014  0.000183  0.163878 0.012651
Th260	0.027708 0.020962  0.000092  0.002159  0.135928 0.000830
Th262	0.028410 0.008892  0.000333  0.008126  0.105178 0.003176
Th264	0.025556 0.001165  0.000332  0.006076  0.071264 0.011617
Th266	0.015273 0.000203  0.000115  0.004424  0.048270 0.007452
Th268	0.009749 0.000032  0.000128  0.005100  0.030808 0.005619
Th270	0.006871 0.000003  0.000241  0.016124  0.009405 0.003359
Th272	0.004981 0.000058  0.000384  0.018881  0.002384 0.004830
Th274	0.005406 0.001139  0.000002  0.014076  0.004260 0.018939
Th276	0.006393 0.000149  0.000444  0.025731  0.000551 0.000543
Th278	0.006931 0.000985  0.000755  0.007601  0.023431 0.001053
Th280	0.007111 0.002094  0.000366  0.001169  0.033857 0.002459
Th282	0.008900 0.001736  0.000900  0.031439  0.014512 0.001386
Th284	0.014667 0.002501  0.000609  0.057797  0.013273 0.000058
Th286	0.028907 0.004133  0.000182  0.093945  0.000189 0.165710
Th288	0.063897 0.005078  0.000612  0.162754  0.000005 0.629754
Th290	0.129811 0.004966  0.001003  0.265341  0.010776 0.854195
Th292	0.205528 0.003267  0.000956  0.348849  0.117477 0.711854
Th294	0.260730 0.001886  0.001136  0.280236  0.397070 0.282788
Th296	0.287895 0.001948  0.002329  0.166036  0.671848 0.060187
Th298	0.294621 0.007741  0.003789  0.102299  0.806120 0.026792
Th300	0.260633 0.047480  0.004736  0.074663  0.802673 0.098566
Th302	0.157926 0.152440  0.005067  0.040565  0.567219 0.363393
Th304	0.096697 0.214064  0.005878  0.028145  0.398332 0.556137
Th306	0.073513 0.236795  0.008186  0.033433  0.344676 0.647115
Th308	0.061179 0.246897  0.013182  0.046210  0.323831 0.680784
Th310	0.051605 0.247764  0.020839  0.063493  0.296427 0.654755
Th312	0.039521 0.233981  0.032834  0.088083  0.256990 0.618414
Th314	0.021803 0.207416  0.046512  0.107021  0.207240 0.625040
Th316	0.007375 0.185730  0.050073  0.098370  0.164463 0.693251
Th318	0.000643 0.182412  0.036928  0.063328  0.131520 0.739503
Th320	0.001641 0.184894  0.017191  0.029429  0.089483 0.620937
Th322	0.021386 0.159651  0.006212  0.010917  0.024337 0.450604
Th324	0.076092 0.083886  0.002461  0.000625  0.008207 0.327475
Th326	0.093740 0.034342  0.001097  0.000074  0.107319 0.193349
Th328	0.081285 0.016751  0.000336  0.000286  0.182439 0.068193
Th330	0.043581 0.005624  0.000254  0.030639  0.026212 0.607679
Th332	0.055449 0.003738  0.000028  0.010848  0.124312 0.000235
Th334	0.043047 0.001285  0.000057  0.017685  0.089906 0.003268
Th336	0.030096 0.000289  0.000127  0.025205  0.059414 0.010874
Th338	0.019566 0.000015  0.000201  0.031149  0.033051 0.017650
Th340	0.012491 0.000018  0.000303  0.032121  0.014674 0.019437
Th342	0.008098 0.000048  0.000501  0.031093  0.003451 0.015128
Th344	0.005171 0.000044  0.000767  0.027428  0.000124 0.008053
