band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,1957.530000,,,
band1,level,4,1,3765.539000,,,
band1,level,6,1,6129.685000,,,
band1,transition,,,,2_1,0_1,13.702470
band1,transition,,,,4_1,2_1,52.195279
band1,transition,,,,6_1,4_1,70.841614
band2,level,0,2,1954.290000,,,
band2,level,2,3,4519.322000,,,
band2,level,4,3,7133.224000,,,
band2,level,6,3,10103.307000,,,
band2,transition,,,,2_3,0_2,14.313694
band2,transition,,,,4_3,2_3,36.067277
band2,transition,,,,6_3,4_3,45.190194
band3,level,2,2,3640.299000,,,
band3,level,3,1,4696.976000,,,
band3,level,4,2,5523.055000,,,
band3,level,5,1,6743.854000,,,
band3,level,6,2,7935.082000,,,
band3,transition,,,,3_1,2_2,63.894790
band3,transition,,,,4_2,2_2,24.222276
band3,transition,,,,5_1,4_2,39.250311
band3,transition,,,,6_2,4_2,51.518406
band3,transition,,,,4_2,3_1,44.295273
band3,transition,,,,6_2,5_1,23.950219
band3,transition,,,,5_1,3_1,42.501544
interband,transition,,,,2_2,0_1,0.333679
interband,transition,,,,2_2,2_1,15.648990
interband,transition,,,,2_2,0_2,0.078957
interband,transition,,,,2_1,0_2,21.661369
