band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,326.021000,,,
band1,level,4,1,863.579000,,,
band1,level,6,1,1569.221000,,,
band1,transition,,,,2_1,0_1,63.404024
band1,transition,,,,4_1,2_1,102.890512
band1,transition,,,,6_1,4_1,131.221861
band2,level,0,2,1201.630000,,,
band2,level,2,3,1713.404000,,,
band2,level,4,3,2342.460000,,,
band2,level,6,3,3117.460000,,,
band2,transition,,,,2_3,0_2,65.771437
band2,transition,,,,4_3,2_3,111.149705
band2,transition,,,,6_3,4_3,144.028055
band3,level,2,2,1028.597000,,,
band3,level,3,1,1570.732000,,,
band3,level,4,2,1687.256000,,,
band3,level,5,1,2340.714000,,,
band3,level,6,2,2455.816000,,,
band3,transition,,,,3_1,2_2,81.310454
band3,transition,,,,4_2,2_2,52.120410
band3,transition,,,,5_1,4_2,35.909656
band3,transition,,,,6_2,4_2,97.409848
band3,transition,,,,4_2,3_1,37.709545
band3,transition,,,,6_2,5_1,23.515632
band3,transition,,,,5_1,3_1,70.247646
interband,transition,,,,2_2,0_1,0.303721
interband,transition,,,,2_2,2_1,29.562044
interband,transition,,,,0_2,2_2,76.991065
interband,transition,,,,0_2,2_1,38.009665
