band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,363.487000,,,
band1,level,4,1,899.604000,,,
band1,level,6,1,1572.509000,,,
band1,transition,,,,2_1,0_1,63.225631
band1,transition,,,,4_1,2_1,99.649318
band1,transition,,,,6_1,4_1,130.853675
band2,level,0,2,1500.997000,,,
band2,level,2,3,1938.483000,,,
band2,level,4,4,2445.173000,,,
band2,level,6,4,3020.671000,,,
band2,transition,,,,2_3,0_2,75.500574
band2,transition,,,,4_4,2_3,149.178263
band2,transition,,,,6_4,4_4,208.212255
band3,level,2,2,942.354000,,,
band3,level,3,1,1489.615000,,,
band3,level,4,2,1560.248000,,,
band3,level,5,1,2186.945000,,,
band3,level,6,2,2276.886000,,,
band3,transition,,,,3_1,2_2,97.169506
band3,transition,,,,4_2,2_2,85.745896
band3,transition,,,,5_1,4_2,37.866049
band3,transition,,,,6_2,4_2,131.101679
band3,transition,,,,4_2,3_1,0.633786
band3,transition,,,,6_2,5_1,0.000639
band3,transition,,,,5_1,3_1,93.191634
interband,transition,,,,2_2,0_1,10.758021
interband,transition,,,,2_2,2_1,99.657405
interband,transition,,,,0_2,2_2,142.926841
interband,transition,,,,0_2,2_1,13.011296
