band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,875.752000,,,
band1,level,4,1,2051.166000,,,
band1,level,6,1,3495.095000,,,
band1,transition,,,,2_1,0_1,19.091069
band1,transition,,,,4_1,2_1,33.959955
band1,transition,,,,6_1,4_1,45.515774
band2,level,0,2,2386.027000,,,
band2,level,2,3,3436.825000,,,
band2,level,4,3,4665.433000,,,
band2,level,6,3,6106.392000,,,
band2,transition,,,,2_3,0_2,23.951351
band2,transition,,,,4_3,2_3,41.051775
band2,transition,,,,6_3,4_3,55.063051
band3,level,2,2,2504.506000,,,
band3,level,3,1,3602.119000,,,
band3,level,4,2,3853.714000,,,
band3,level,5,1,5002.490000,,,
band3,level,6,2,5370.131000,,,
band3,transition,,,,3_1,2_2,33.259458
band3,transition,,,,4_2,2_2,19.660936
band3,transition,,,,5_1,4_2,17.363184
band3,transition,,,,6_2,4_2,36.375396
band3,transition,,,,4_2,3_1,14.054768
band3,transition,,,,6_2,5_1,9.277470
band3,transition,,,,5_1,3_1,29.604834
interband,transition,,,,2_2,0_1,0.075630
interband,transition,,,,2_2,2_1,13.238055
interband,transition,,,,2_2,0_2,2.467203
interband,transition,,,,0_2,2_1,23.429542
