band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,986.662000,,,
band1,level,4,1,2086.961000,,,
band1,level,6,1,3274.033000,,,
band1,transition,,,,2_1,0_1,20.174227
band1,transition,,,,4_1,2_1,40.488439
band1,transition,,,,6_1,4_1,64.590146
band2,level,0,2,1797.337000,,,
band2,level,2,3,2645.264000,,,
band2,level,4,3,3568.823000,,,
band2,level,6,3,4705.688000,,,
band2,transition,,,,2_3,0_2,32.195409
band2,transition,,,,4_3,2_3,44.781424
band2,transition,,,,6_3,4_3,74.478291
band3,level,2,2,1896.238000,,,
band3,level,3,1,2677.583000,,,
band3,level,4,2,3035.854000,,,
band3,level,5,1,3755.179000,,,
band3,level,6,2,4225.685000,,,
band3,transition,,,,3_1,2_2,52.777115
band3,transition,,,,4_2,2_2,32.360303
band3,transition,,,,5_1,4_2,25.368728
band3,transition,,,,6_2,4_2,63.092922
band3,transition,,,,4_2,3_1,3.135709
band3,transition,,,,6_2,5_1,2.706526
band3,transition,,,,5_1,3_1,47.927334
interband,transition,,,,2_2,0_1,0.958816
interband,transition,,,,2_2,2_1,41.330568
interband,transition,,,,2_2,0_2,4.116126
interband,transition,,,,0_2,2_1,38.540203
