band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,15266.539000,,,
band1,level,4,1,33776.092000,,,
band1,level,6,1,58228.251000,,,
band1,transition,,,,2_1,0_1,0.503352
band1,transition,,,,4_1,2_1,0.887981
band1,transition,,,,6_1,4_1,1.170974
band2,level,0,2,27041.348000,,,
band2,level,2,3,52026.238000,,,
band2,level,4,4,75100.144000,,,
band2,level,6,4,102225.594000,,,
band2,transition,,,,2_3,0_2,0.282617
band2,transition,,,,4_4,2_3,0.729947
band2,transition,,,,6_4,4_4,0.888542
band3,level,2,2,27123.349000,,,
band3,level,3,1,42301.101000,,,
band3,level,4,2,49224.220000,,,
band3,level,5,1,64106.730000,,,
band3,level,6,2,74373.298000,,,
band3,transition,,,,3_1,2_2,0.947027
band3,transition,,,,4_2,2_2,0.512307
band3,transition,,,,5_1,4_2,0.436822
band3,transition,,,,6_2,4_2,0.854476
band3,transition,,,,4_2,3_1,0.200798
band3,transition,,,,6_2,5_1,0.098906
band3,transition,,,,5_1,3_1,0.689929
interband,transition,,,,2_2,0_1,0.000329
interband,transition,,,,2_2,2_1,0.714366
interband,transition,,,,2_2,0_2,0.005042
interband,transition,,,,0_2,2_1,0.499052
