band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,2753.636000,,,
band1,level,4,1,6855.444000,,,
band1,level,6,1,12440.952000,,,
band1,transition,,,,2_1,0_1,13.728929
band1,transition,,,,4_1,2_1,24.504527
band1,transition,,,,6_1,4_1,31.515820
band2,level,0,2,6136.064000,,,
band2,level,2,3,10857.455000,,,
band2,level,4,4,16291.987000,,,
band2,level,6,4,22960.992000,,,
band2,transition,,,,2_3,0_2,11.332947
band2,transition,,,,4_4,2_3,20.911845
band2,transition,,,,6_4,4_4,29.390319
band3,level,2,2,6452.890000,,,
band3,level,3,1,9702.678000,,,
band3,level,4,2,11468.887000,,,
band3,level,5,1,15029.050000,,,
band3,level,6,2,17654.692000,,,
band3,transition,,,,3_1,2_2,27.642578
band3,transition,,,,4_2,2_2,13.208220
band3,transition,,,,5_1,4_2,15.611301
band3,transition,,,,6_2,4_2,25.212849
band3,transition,,,,4_2,3_1,15.801546
band3,transition,,,,6_2,5_1,10.343713
band3,transition,,,,5_1,3_1,20.520435
interband,transition,,,,2_2,0_1,0.331215
interband,transition,,,,2_2,2_1,10.854145
interband,transition,,,,2_2,0_2,0.046592
interband,transition,,,,0_2,2_1,17.432410
