band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,216.327000,,,
band1,level,4,1,590.787000,,,
band1,level,6,1,1088.760000,,,
band1,transition,,,,2_1,0_1,142.818106
band1,transition,,,,4_1,2_1,225.294242
band1,transition,,,,6_1,4_1,280.912660
band2,level,0,2,919.439000,,,
band2,level,2,3,1295.634000,,,
band2,level,4,4,1578.481000,,,
band2,level,6,3,1797.425000,,,
band2,transition,,,,2_3,0_2,129.748286
band2,transition,,,,4_4,2_3,114.906162
band2,transition,,,,6_3,4_4,970.741638
band3,level,2,2,683.830000,,,
band3,level,3,1,1006.202000,,,
band3,level,4,2,1115.653000,,,
band3,level,5,1,1519.583000,,,
band3,level,6,2,1624.212000,,,
band3,transition,,,,3_1,2_2,218.311815
band3,transition,,,,4_2,2_2,125.735796
band3,transition,,,,5_1,4_2,95.506049
band3,transition,,,,6_2,4_2,224.224212
band3,transition,,,,4_2,3_1,96.422514
band3,transition,,,,6_2,5_1,59.471103
band3,transition,,,,5_1,3_1,171.504001
interband,transition,,,,2_2,0_1,2.136735
interband,transition,,,,2_2,2_1,60.917293
interband,transition,,,,0_2,2_2,169.540961
interband,transition,,,,0_2,2_1,22.563870
