band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,107.952000,,,
band1,level,4,1,346.911000,,,
band1,level,6,1,704.469000,,,
band1,transition,,,,2_1,0_1,214.900363
band1,transition,,,,4_1,2_1,315.422474
band1,transition,,,,6_1,4_1,360.515216
band2,level,0,2,1122.111000,,,
band2,level,2,3,1391.238000,,,
band2,level,4,4,1838.942000,,,
band2,level,6,4,2337.096000,,,
band2,transition,,,,2_3,0_2,138.603840
band2,transition,,,,4_4,2_3,130.804694
band2,transition,,,,6_4,4_4,207.688449
band3,level,2,2,993.281000,,,
band3,level,3,1,1178.820000,,,
band3,level,4,2,1296.651000,,,
band3,level,5,1,1557.952000,,,
band3,level,6,2,1690.853000,,,
band3,transition,,,,3_1,2_2,278.771072
band3,transition,,,,4_2,2_2,132.563017
band3,transition,,,,5_1,4_2,135.574132
band3,transition,,,,6_2,4_2,257.575939
band3,transition,,,,4_2,3_1,211.631641
band3,transition,,,,6_2,5_1,118.873856
band3,transition,,,,5_1,3_1,195.009042
interband,transition,,,,2_2,0_1,2.746327
interband,transition,,,,2_2,2_1,12.533724
interband,transition,,,,0_2,2_2,135.559967
interband,transition,,,,0_2,2_1,17.939744
