band,kind,spin,index,energy_keV,upper,lower,be2_energy_down_WU
band1,level,0,1,0.000000,,,
band1,level,2,1,277.252000,,,
band1,level,4,1,722.467000,,,
band1,level,6,1,1295.553000,,,
band1,transition,,,,2_1,0_1,86.774819
band1,transition,,,,4_1,2_1,141.686367
band1,transition,,,,6_1,4_1,181.433341
band2,level,0,2,1134.344000,,,
band2,level,2,3,1528.478000,,,
band2,level,4,3,2013.276000,,,
band2,level,6,3,2619.228000,,,
band2,transition,,,,2_3,0_2,97.979940
band2,transition,,,,4_3,2_3,167.183005
band2,transition,,,,6_3,4_3,195.197830
band3,level,2,2,954.270000,,,
band3,level,3,1,1443.564000,,,
band3,level,4,2,1503.698000,,,
band3,level,5,1,2099.899000,,,
band3,level,6,2,2123.960000,,,
band3,transition,,,,3_1,2_2,108.773567
band3,transition,,,,4_2,2_2,72.052422
band3,transition,,,,5_1,4_2,46.141076
band3,transition,,,,6_2,4_2,133.817025
band3,transition,,,,4_2,3_1,43.066626
band3,transition,,,,6_2,5_1,26.065398
band3,transition,,,,5_1,3_1,96.453953
interband,transition,,,,2_2,0_1,0.485967
interband,transition,,,,2_2,2_1,42.239884
interband,transition,,,,0_2,2_2,97.127332
interband,transition,,,,0_2,2_1,61.350566
